SEG	cons	voice	cont	son	nas	sib	lab	cor	ant	strid	lat	back	round	hi
A	-	+	?	+	?	?	?	?	?	?	?	?	-	-
I	-	+	?	+	?	?	?	?	?	?	?	?	-	+
O	-	+	?	+	?	?	?	?	?	?	?	?	+	-
U	-	+	?	+	?	?	?	?	?	?	?	?	+	+
H	-	+	?	+	?	?	?	?	?	?	?	?	?	+
V	-	+	?	+	?	?	?	?	?	?	?	?	?	?
D	+	?	-	-	-	-	-	+	+	-	-	?	?	?
b	+	+	-	-	-	-	+	-	-	-	-	?	?	?
d	+	+	-	-	-	-	-	+	+	-	-	?	?	?
e	-	+	?	+	?	?	?	?	?	?	?	-	-	-
f	+	-	+	-	-	-	+	-	-	-	-	?	?	?
g	+	+	-	-	-	-	-	-	-	-	-	?	?	?
h	+	-	+	-	-	-	-	-	-	-	-	?	?	?
i	-	+	?	+	?	?	?	?	?	?	?	-	-	+
j	+	+	-	+	-	-	-	-	-	-	-	?	?	?
k	+	-	-	-	-	-	-	-	-	-	-	?	?	?
l	+	+	-	+	-	-	-	+	+	-	+	?	?	?
m	+	+	-	+	+	-	+	-	-	-	-	?	?	?
n	+	+	-	+	+	-	-	+	+	-	-	?	?	?
o	-	+	?	+	?	?	?	?	?	?	?	+	+	-
p	+	-	-	-	-	-	+	-	-	-	-	?	?	?
r	+	+	-	+	-	-	-	+	-	-	-	?	?	?
s	+	-	+	-	-	+	-	+	+	+	-	?	?	?
t	+	-	-	-	-	-	-	+	+	-	-	?	?	?
u	-	+	?	+	?	?	?	?	?	?	?	+	+	+
v	+	+	+	-	-	-	+	-	-	-	-	?	?	?
w	+	+	-	+	-	-	+	-	-	-	-	?	?	?
y	-	+	?	+	?	?	?	?	?	?	?	-	+	+
z	+	+	+	-	-	+	-	+	+	+	-	?	?	?
ø	-	+	?	+	?	?	?	?	?	?	?	-	+	-
ɑ	-	+	?	+	?	?	?	?	?	?	?	+	-	-
ɯ	-	+	?	+	?	?	?	?	?	?	?	+	-	+
ɰ	+	+	-	+	-	-	-	-	-	-	-	?	?	?
ʃ	+	-	+	-	-	+	-	+	-	+	-	?	?	?
ʒ	+	+	+	-	-	+	-	+	-	+	-	?	?	?
ʤ	+	+	-	-	-	-	-	+	-	+	-	?	?	?
ʧ	+	-	-	-	-	-	-	+	-	+	-	?	?	?
